,아이디,댓글 내용,댓글 시간
184,  이창기,영원한 승자도 없는거야.화려했었다고 뒤돌아보면 더 서긆퍼지지?화무십일홍! 명심들....,2년 전
185,  이상엽,양아치의 최후,5년 전
186,  나한태,김복준이  멀안다고 경찰 주제에 조폭이 교도소에 왕노릇한다고   경험도  안해본 사람이  이렇게 얘기하지? 조폭이  경찰과  어울린다고하면 기분어떤가,2년 전
187,  옥토버스카이,양아치보고~낭만건달이란다,6년 전
188,  잼횽,그냥 사형시키면 딱인데.. 왜 살려서 세금만 나가게하는걸까.. 그냥 죽이면 되자나.? 벌레랑 같은건데. 벌레는 그냥 죽이고 변기물에 내리면 될것을..,2년 전
189,  Ss Zazz,조폭이든 누구든 늙으면 초라해지는법... 굳이 양아치한테 화려한이라는 형용사 붙이지말자,5개월 전
190,  HS SH,결국은 다 돈이군... 재 목사한다 안했나??,6년 전
191,  오빠왓다 ^^,"사람은 선하다,악의를 다스리기 위해 고뇌한다.요런 놈은 악의를 즐기다.일생이 어럽고 노년에 고생이지",8개월 전
192,  불나방,사형만이 답이다,2년 전
193,  초의리,이런방송이 꼭필요하는가얼척없는 이런방송은 싫다,2년 전
194,  김수한무,뭐가 3대 조폭이야......?웃기는 소리하네.......김복준 저 사람 잘 알지도 모르면서 떠드네...,3년 전(수정됨)
195,  유지훈,주름잡은것은 아니지 ㅋ ㅋ 자기 구역만  관리한거지 ㅋ ㅋ 건달 실패자 조양은,3년 전
196,  YH Eternity,ㅋㅋ- 한국 조폭계는 일본야쿠쟈에 비하면 진짜 양아치야~저런 찌질이가 두목이었다니---,6년 전
197,  Raining,양아치 에다 쓰레기에다 앞뒤 생각 없는 데다가 사람 얼굴 겉모습 보고 판단하면 절대 안됨,2년 전
198,  희희,누구든지 끝은있네요,3년 전
199,  박진,왜저런걸 방송하지 참 할일없는 사람들 같으니~~~~~~~~,6년 전
200,  Surplus King,2007년 30대 의사에게 사기당해가 제일 웃기네 ㅋㅋㅋ 무슨일인지 궁금하다...킹무갓키라도 찾아볼까,2년 전
201,  김은호,인생은 풀이요 그 모든 영광은 풀의 꽃과 같도다,1개월 전
202,  남성진성열,죄는 죄로가고 선은 복으로 인간 아닌것들은 사형감  대한민국 인간아닌것들 많음,10일 전
203,  andrew lee,시사프로인줄 알았는데 오락 프로네 ㅋㅋ만담 ㅋㅋㅋ,3년 전
204,  Alpha Centauri,솔직히 조폭과 강도와 차이점은?,2년 전
205,  야노스,쓰레기들 소각시켜야함,2년 전
206,  진우,사시미칼 잘 쓰는  조양은이ㅋㅋ,6년 전
207,  박정훈,요즘 세상 건달이 어디있냐 양아치들이지강자한테 약하고 약자한테 강하고,1년 전
208,  정몽준,퇴직해도 퇴직금을못받네,3년 전
209,  그림KHY,초라한노년 ㅊㅋ합니다,6년 전
210,  권준한,"가는세월은,아무도잡지못합니다,,남을도와주고,",3개월 전
211,  이갈매기,초라한 노년 쯤이야...누리며 살았다면 감수하지,4년 전
212,  111 blessme,그전까지.주먹몽둥이로싸웟지.회칼사용전라도..조양은..,4년 전
213,  joo,멋있는척하지만결론은 양아치밖에 안된다,3년 전
214,  정의,이런것이 깡패들의최후다.깡패들이 의리있다고 천만에 양아치일뿐이지,4년 전
215,  apple fanta,조폭은 돈 벌면 지 혼자 못쓴다행님행님 그럼서 붙으니 퍼 줘야됨어차피 같이 벌은거니깐늙어 징역살다 나오면 뭐가 남아 있겠어 그저 지몸 겨우 후배들에게 건사시키니 나중에끝내는 남는게 없음,1년 전(수정됨)
216,  박형민,조폭이 영웅시 됐던시절 있었지 그리고 멋진놈들도 많았지 근데 조폭보다 더 쓰레기는 정치권에 있지 뭐 둘다 연관있어 이용하다가 버넘받은건 조폭이지만아직 살아남아있는 정치권 쓰레기는 언제 정리할래ᆢ,3년 전
217,  수진윤,ㅋㅋㅋ교도서에서 또싸움을ㅋ,6년 전
218,  대추나무사람걸렸네,아 지금은 없어지고 깜빵가있군요 ;; 서방파 정리했다길래 조직이 아직도 엄청큰줄알았음,3년 전
219,  이이룸,결혼 했다더니 계속해서 저런 짓을 하고 다니네. 미인아니다 내가 봤다,3년 전
220,  E 1,같이일하던조폭을왜도와주지않지?양아치들끼리....,4년 전
221,  추억의놀라장,같이 영화찍은 연예인들 수준이 ㅋㅋㅋㅋㅋ,6년 전
222,  Real Biny,손도끼쓰면서 연장질시대를 만든 장본인그전까진 주먹 대 주먹으로만 싸웟는데,2년 전
223,  역사게임tv,44억 사기쳐서 3년 6개월 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2년 전
224,  pan magi,노태우가 잘한 건 범죄와의 전쟁해서 조폭들 다 잡아 쳐 넣은거  이거 하나 기억난다.,2년 전
225,  김상진,양은이형은 70넘어 젊어짐,2개월 전
226,  FIRE YOUTUBE,갑자기 이게왜처뜨는걸까... 유튜브알고리즘이란..,2년 전
227,  심주역,조양은  부인도 동시  통역사라는데? ? 착실하게  신앙생활 하는줄알앗는데. ..이생에서행한 악업을 담생에  받겟지요.,1년 전
228,  몽둥이든소녀,비겁하게  무기썻군,3년 전
229,  김성곤,재미있네요,6년 전
230,  조봉헌,군인들이 나서서  두번다시 없게해야한다,1년 전
231,  새우등터짐,마리텔에 나왔던 아조씨 보이시네,6년 전
232,  이제운동하자,회칼든순간부터 양아치 그이상도이하도아님,2년 전
233,  ᄒᄒᄒ,"1:15 ""소씨라는 분이 소씨 소씨 소씨의 소개 로"" 왤케ㅋ 소씨를 강조하지? ㅋ 소씨의소개라성을 굳이 말할필요가있나 ㅋ너무 웃김",3년 전
234,  송기성,깡패는  결국 인생의  겨의갇혀 살아야  하내,6년 전
235,  J J,김복준 위원님 젊으셨네,2년 전
236,  뭐먹지,양은이파 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 존나웃김,3년 전
237,  장채원,조양은이가 회칼 등 연장의 원조라고? 헐... 그럼 이정재가 했던 정치폭력 때 쓴 연장은 뭐냐? 일제 때 일본애들 다 연장썻는데? 미화하는 것도 문제지만 누구하나만 잘못으로 모는 것도 문제지. 조폭은 원래 다 안 좋은거야.,6년 전
238,  무궁화,좀비파에 비하면 개발에 피지,3년 전
239,  dbfh12,그냥 조직에서 우두머리로 대물림 받아서 큰소리 친것이지 생긴 거 봐라. 주먹 좋아 하시네. 더 잘 하는 사람 넘치겠다,4년 전(수정됨)
240,  황규연,나는 나는양파다........,5년 전
241,  신데렐라,조폭에게 화려함이  있나?그저   험한꼴만 볼 것  같은데?화려함이라는 단어자체가  안  어울림!,2년 전
242,  lucky king,그냥 양아치라던데..건달은 김두한까지 끝 이후로는 양아치,6년 전
243,  ming ky,늙으면 다 똑같지머..늙엇는데 어떻게 허세부리고 힘쎄고 뛰고 구르고 날라다니나. ㅋㅋ,3년 전
244,  권대,언제 화려했던 적이 있었나요?,3년 전
245,  mh k,양아치에 시조,4년 전
246,  이서하,화려했던과거가아니라 추했던과거입니다.,2년 전
247,  아기상어,깡패가 협객이 어딨어,2년 전
248,  Yung Joon Ryu,자유부인,6년 전
249,  Leaveme alone,한국에서는 이렇게 알려졌구나....난 그 당시 세부 있었는데 사실은 좀 다르지...200만원이 아니라 카지노 운영자금 이었는데...암튼 우연히 유튜브 보다가 ..옛생각 돋네  ㅋ,4년 전
250,  혜경,초라한?  헐! 뉴스꺼리가 없구멍 초라한 뉴스 ㅋㅋ진짜도둑들 얘기나하슈!,2년 전
251,  김학관,당연히 초라하게 살아야지요전에 얼마나 사람들을 못살게 했겠어요 자업자득 이지요,2년 전
252,  9 1,조폭끼리 어느정도 룰이 있던건 이걸 어기는 순간 서로가 서로 뒷치기 하게 되서 자멸하니까 그런거고... 그런 행위를 한만큼 저리되는 건 당연함.일본 관서쪽 거대 야쿠자애들은 노인들에게도 깍듯이 대함. 현재까지도 말이지...,3개월 전
253,  Meng,요즘 호남 욕먹는데는 저놈도 분명히 한목한다,5년 전
254,  샤론,공부했음 서울대 정도 갔을 수재급의 얼굴. 도대체 그 얼굴과 체격으로 어떻게 조폭 두목을 할 수 있을까? 머리가 비상했던 것 같다.,2년 전
255,  Dexter Journeyman,조폭영화가 문제야.,4년 전
256,  김남진,사보이 호텔 사시미 대한민국 건달 이사라진날  ㅡ양아치 !,3년 전(수정됨)
257,  아인,조폭이란  단어는 아깝다   쌩양아치라  부르는게`~   맞는듯,3년 전
258,  불주먹,조양은이 양치할때 의외로 하면 안되는 행동양! 아! 치!,1년 전
259,  서상남,생양아치,5년 전
260,  Thomas Kang,양아치들은 공무원들이 갑,3년 전
261,  이내,맞습니다 쓰리꾼엿다죠,4년 전
262,  전발,"ㅡㅡ우리가 알야 될건 박ㅇㅊ(미키ㅇㅊ)이있는, joj의 기획사 사장이 바로양은이파 부두목 아들ㅂㅊㅈ다.",6년 전
263,  진심의말,조양은 이사람 말씀듣고도 유혹을 못이기고주먹세계에서 벗어나지 못했죠,2년 전(수정됨)
264,  dayfly dayfly,김형일을 조연으로 밀어내고 자기가 주연한거부터가 오버였음...lol,3년 전
265,  심정만,우리나라 3대 양아치조직의 고향이 어디더라? 7지역 ㅋㅋㅋ,6년 전
266,  프리건축가,아니  교도소를  한25층으로  지어버리고  교도관  늘리면  오히려 단합도잘되고 더관리하기좋을것같은대ㆍ ㆍ,3년 전
267,  우린정말사랑했을까,독고영제랑 의형제였는데...영제 슬프겠네,2년 전
268,  카사no바촬리킴,진행자 말 겁나 짜르네 지가 질문해놓고 쫌 쳐 들어라 진행자 말같이생겨가지고 ㅋㅋㅋ,2년 전
269,  grannys92,화려하긴.. 인간 쓰레기가 머가 화려하냐. 미화좀 하지말자. 사회와 더불어 살 수 없는자는 인간도 아니고 영원히 격리 시켜야 한다.,4년 전
270,  England Prowler,저때부터 조폭이 양아치라고 불릴때,2년 전
271,  김근영,전두환 대통령님 없었으면 아직도 조폭카르텔이 있었겠지...그립습니다 엔젤 두환 ㅠ 삼청교육대 다시 만들던가해야됨,6년 전
272,  BuSan유빙,조폭이 미인을 둔다? 아니지양치짓해서 강제  공갈 폭력으로...,1년 전
273,  관종김실장,사람은 안변하죠,2년 전
274,  gurongsae,전라~전라~,5년 전
275,  박혁거세,좀전에 선교사로 나오던디... ㅋㅋ 성기에  담배불로 지지고...  대단허이 시팍탁구싸커!,2년 전(수정됨)
276,  SH J,왜 저런조폭들을 국민세금으로.교도소에서 먹여주고재워주고 ㅡ돈아깝다 ㅡ저런사람들은절대로 변하지않는다 ㅡ사회에서.일반인과멋어울리도록 격리해서 지들끼리자립해서 살던말던 ㅡ국민세금아깝다 ㅡ쓰레기들,2년 전
277,  bara park,나이 먹으니까 몸이 안움직이는거지 늙으면 끝이지 뭐 깡패든 뭐든,3년 전
278,  참이슬,나중에 손자뻘 애들한테 옥수수 털릴라.,4년 전
279,  yun kyong,야이게 뉴스냐 ???전에 조폭한 사람이 노년에 회개하고 조용히 사는게 무슨 초라한이라 단어까지 동원할 뉴스꺼리야 ??? 할일없는것들,2년 전
280,  살아온기적,거세해서 얌전하게 만들자.빠른입법이 필요하다.,2년 전
281,  박선호,조양은 마지막을 애국에   바치시라!,2년 전
282,  HEADBANGER,전라도의 자랑,6년 전
283,  레오,삼청교육대 부활시키가 싹다 잡아처너야 나라가 산다,2년 전
284,  이명국,깡패 돈 떼먹기가 젤 쉽다더만.. 과연,3년 전
285,  james H,전라도답다,6년 전
286,  Kris C,감빵가서 고등고시합격해서 수능보고 삼청교육대나 지원해봐라.ㅋㅋㅋ,4년 전
287,  피터팬뱅갈,평생을 정신못차리고 저렇게살다죽는거지,2년 전
288,  유진,"주먹잡이가 아닌,비열한 칼잡이~",2년 전(수정됨)
289,  김재민,90년대 00년대 조폭 미화가 개오졌지 특히 김두한 같은 애들,2년 전
290,  김진욱,아이 무서워~,2년 전
291,  옥녀봉,"김교수님께서, 지적했듯이,  조폭에도 나름대로 반드시, 3가지 지켜야할것있는데,  75년도 명동 사보이호텔 난입, 회칼등장으로  건달, 협객 낭만주먹은 역사속으로사라진것같네요",1년 전
292,  마봉춘,200만원에 권총에다 성기로 불로 지지나..,3년 전
293,  Js choo,현실 인지 감각이 마비된듯.어지간히 머리가 돌아가면 조직원들 이용해사업하던데..쟤는 머리속에 돌만 들어서,2년 전
294,  장끝순,조양은 김태촌 대단했지,1년 전
295,  강사리,저정도 위세면 옛날엔 빵에서 약도할수있고 그랬다던데,2년 전
296,  Hyun Su Kim,성기를 담배불로 지지고.. ,2년 전
297,  김현,대한민국 조폭들 소탕해서안전하고 행복한세상을 열어봅시다..어디 무인도로보내든지!,1년 전
298,  뽀짹,지금은 그냥 주름만 잡혔네,4년 전
299,  depil,요즘 조폭은 돈이 젤 중요돈 없는 두목 없음돈 없는 두목한테 충성하는 부하도 없고,9개월 전
300,  soul paladin,야 굳이 조폭이라고 하는 양아치 애들 사회에 남겨둘 바에는 중국 조폭들한테 던져줘서 같이 파벌 싸움하게 해줘라 ㅋㅋ 둘 중에 하나 몰살되면 그래도 지금보다는 안 깨끗해지겠냐?어차피 살아도 십창난 인생들인데 개 먹이로 못줄 바에는 저렇게 쓰고 버리는게 낫지,1년 전
301,  뮤직뮤직스타일,"지금 조폭들은 깡패, 생양아치 그이상 그이하도 아님..",2년 전
302,  🐓 🦋아지랭이 와 나,장끼파 까투리파 꺼병이파 사라지게 할려면 법이 눈에 생각에 보여야 하는데 지금 한국 솜방망이 법은 숨어있다,1년 전
303,  박영석,판사출신 변호사란 인간이 하는말 봐라 ㅉㅉ  판사짖하다   쫒겨난거 같네,3년 전
304,  돼지신정식,중고등학생 동생들아 이게 조폭 결말이다 괜한 유튜브 보고 환상 꿈꾸지마라,2년 전
305,  김수현,깡패 다없어졌음 좋겠ㄷ,3년 전
306,  정석 신,신율이는 왜 이리 발음이 짧을까교수 방송하는 게 신기하다.,1년 전
307,  스트라이크,사형시켜야지 어떻게하라고,2년 전(수정됨)
308,  yu yu,면회 대기실서 40대한테 존나 맞았음~ㅋㅋ보스는 무슨,2년 전
309,  시트러스,진작에 사형시키지,2년 전
310,  이름미정,이게 왜 알고리즘에 뜨지 공범 체포니 뭐니 요즘 뉴스에 나오긴 하던데,1년 전
311,  이경화,돈많은 부자가 권력인 시대에 조폭을 누가 알아줘 돈이나 모으자,2년 전
312,  이기승,아니 저 여상원 부장판사는 무슨 뉴스나와서 조폭들 부인이 미인이다 이런 쓸모없는 얘기를 하냐,1년 전
313,  Лу На,멋있지도 로멘스도 의리도돈도 없는게 요즘조폭이다,1년 전
314,  장동운,늙는다는건 누구에게나 초라하지 ...,8개월 전
315,  Jason Park,글케 나쁜짓만 골라서 하더니.  깡패가 아니라 양아치지.   에혀,2년 전
316,  야갤저장소,이미 돈은 다 숨겨뒀는데 무슨 의미냐,2년 전
317,  즐겁자,깡패는 사료화시켜라,2년 전
318,  jeong oh,필리핀으로 도피 했다가 필리핀에서 ㅈ 도 모르고 겁없이 교민들한테 삥뜯으려고 깝치다 필리핀 교민들이 청부업자 고용해서 죽여버릴라 하니 완전 쫄아서 스스로 자수한다하고 귀국한거,2년 전
319,  investigator Iam,복준이형 젊었을적 ㅋㅋㅋ,9개월 전
320,  이병용,악인의 최후는 비참해야 마땅함이 자가 아직 살아있다는 것 자체가  맘에 안든다  밥이 아깝고 공기가 아깝다,2년 전
321,  jeon,더초라해져라 얼마나많은사람괴롭히고 고통에시달리게했겠냐,1년 전
322,  정하나,여기  댓글   조양은씨   한테   죽을때까지 보여줘   자신이어떤인생를  살다가  가는지,3년 전
323,  김동년,복준씨는 안나오는곳이없네.,3년 전
324,  고씸쭐,삼청교육대 부활시켜 힘주고 다니는것덜 다잡아들여 집어넣어라,2년 전
325,  반란군,ㅋㅋㅋㅋ 차뺴~ ㅋㅋㅋㅋㅋㅋ,2년 전
326,  김명국,고소하다.조폭자식들.감옥에서 평생살거라.,2년 전
327,  박용훈,"조직범죄자와 공직범죄자 및 경제사범과 살인범은 전재산을 몰수하고, 감형없는 종신형으로, 감옥안에서 숨이 끊어져야 감옥 밖으로 나오도록 하되, 인정사정 볼 거 없따.",3개월 전
328,  프로메테우스,조폭들 부인 또는 애인이 미인인 것은 유흥업 종사자 출신이라 그렇지,4년 전
329,  타코야끼,옛날 일제시대 그 시절에나협객소리듣지 지금은 그냥양아치 근데 간혹보면 이런양아치를좋아하는여자들있음 이런여자들도거진대부분 꼴통!,2년 전
330,  PooPo Lindos,쓰레기는 쓰레기통에...,1년 전
331,  지훈,"아침방송에 동시통역사하고 결혼했다고 나왔었는데, 여자는 겁에 질려서 아무말도 못하고 얼굴은 수척해서 그늘이 짙게 져있었는데.. 어린나이에 봐도 좋아서 한 결혼이 아니란건 알겠더라. 여자가 학벌도 좋고 미인이었는데 인생 망친거지...",2년 전
332,  이영희,한 때 왕년의 주먹이었으면뭐하나..노년이 평안하여야하는데..검은 머리 파뿌리되어감옥에서 보내는 노년이얼마나 후회스러울까잘나가던 조폭시절에는오늘의 노년은 감히 상상도할 수 없었을거다참으로..헛된 삶을 살아온노인의 불과하구나,3개월 전
333,  김미정,잘나가던  조폭 ?  뭐가  잘 나간걸까?,4년 전
334,  어서오시게,와  지금은 70인가 69살?,2년 전
335,  juni L,사형이 답이다.,3년 전
336,  소삼석,건달의  마지막 양아치의 시작  조양은,1년 전
337,  청보핀토스,세월에  장사 있더냐   출소해서  고딩들한테  다구리 당할 수있다,3년 전
338,  함석근,초라한 노년은 무슨젊었을때도 그 본질은 세상누구보다도 초라했던거다이제 화려해보였던 껍질이 벗어져 그 알맹이만 보여지는것일뿐.깡패 아니냐,3년 전
339,  Castle_base,안봐도 비디온데 방송으로 꼭 내보내야해?,2년 전
340,  Paul Han,"자기의 힘과 권세를  의지하고 ,자고 하며 남을 괴롭게 하는 자는 필경은 독수리의 먹이가 될 날을 모르는어리석은 사자 같으니라.",5개월 전
341,  김정우,양으니도 혈기왕성한 고딩만나면 바로 꼬꾸라지지,3년 전
342,  윤지욱,무리 다니면서 연장하는게 무슨 그냥 인생막장  양아치지.,1년 전
343,  김종운,조양은 하면 교도소에서는 생양아치라고 소문다났다 혼자밖에 모르는쌕끼닌까,2년 전
344,  air 7,감옥가서 징징거리는 인간,3년 전
345,  남최명원,조폭애인이나 부인은 거의술집여자들이다!돈의로 환심사  데리고 산다,4년 전
346,  김세열,조폭은 무슨 쟤네들은 양아치들이죠,2년 전
347,  redfox,양아치를 부각 시킨게 언론이다 쓰레기들을 쓰레기로 만들어야지 미화시키는 언론들,1년 전
348,  위치추적,살아잇는 자체가 행복이지.감옥은 내 두번째고향 아니겟는가,7개월 전
349,  이봉수,참 조폭두목 이 무슨자랑인가~?이사회가문제다 ㅊㅉᆞ,3년 전
350,  To Paz,목사님...,2년 전
351,  추억의놀라장,조양은 영화에 출현했던 배우들 안부끄러워?,4년 전
352,  비굴하지않는 민족,조폭은 국가의 악이다,3개월 전
353,  DOSA SU,김복준 선생님.왈.  조양은  은  벌받고 있는 것잉만.않그렇타고 ~~~~,3년 전
354,  조금진,그초라한노년을 지금도 가슴 여리게 사랑하는 사람이 있으니 욕하지마라 한백놈아,4년 전
355,  김재호,감방에서20년동안 교훈을 얻었으니 마감도 빵에서 해야지,1년 전
356,  아야왜아파?뮈뮈,양아치가.끝까지.양아치지!변할리가있겠어?,2년 전
357,  air 7,나이먹고 힘빠져 어디 안터지고 살면 당행이지 그냥 양아치 범죄자,4년 전(수정됨)
358,  박사장,출소를 한게 법이 웃기네,1년 전
359,  ᄀᄀ,차비만원주고 강정파괴범으로 90년대의 스타도있다..잡범가지고 현금.수표.시칵.도끼.장칼등 잔뜩놓고 창영해서 방송내보내고  인터뷰도 안더라...재방송 안해주나...,2년 전
360,  BAOBAB바오밥,조/ 폭  +양/ 아치 =은/ 팔지,4년 전
361,  배명길,살려둔게 잘 못 이다.,2년 전
362,  Park Jonghee,저기나오는 경찰들 언론인 모두 어릿광대.,1년 전
363,  박승빈,당연하지!얼마나 못땐짓거리를 많이했으면저거편에서도 칼빵맞았을까?,2년 전
364,  sean lew,저 놈하고 결혼한 동시통역사는 정신이 있는 거임? 아니면 협박을 받았나?,2년 전
365,  Joung-Phil Lee,그때 석방됐으면그때부터라도 착하게살지 왜 그러셨수?,2년 전
366,  덕용 윤,그냥 굶겨 죽이는게 세금낭비를 하지 않는거,10개월 전
367,  이걸그냥,맹세컨데 실제 조폭 행동대장의 입에서 나온 말 입니다의리? 그거 나를 위한 의리지 의리 없어요,1년 전
368,  ᄋᄃᄅ,이름이 무슨 양은이파야 ㅋㅋㅋㅋㅋ,2년 전
369,  킁킁똥밥,조양은하고 유영철하고 강호순하고 엄여인하고 신창원하고 같이 한방쓰면 참볼만하겠다..,4년 전
370,  손흥민,진짜 무기징역감이고 법없이도 사는 사람들..법지키며 사는  소시민들. 허탈하게 만든 극악한 파렴치.양아치.다...,2년 전
371,  바다실,성격들이ㅠ왜그럴까 열심이 일하기는 싫고 그러니까 그렇게ㅠ살앗겠지 인과응보,1년 전
372,  조남청,"주먹으로 흥한자, 법으로 작살나지.",1년 전
373,  air 7,더 나이먹어봐라 길가다 초등학생에게도 ㅋ,3년 전
374,  신종만,조폭이나 경찰이나 검찰이나 그놈이 그놈이제법안에 조폭 법밖에 조폭 별게이냐,3년 전
375,  다낭크라운K,양아치에 사기꾼 ㅎㅎㅎ,3년 전
376,  Myeong yeoull Cho,흔때 양아치 조폭 미화하는 영화 많이 만들었잖아,2년 전
377,  지식스토어,내주머니건들면 건달이고 눈에안보이지,4년 전
378,  트루빗,조양은의 외조카........ 쎄제스엔터테인먼트 백창주 임..... 그의 어머니의 사촌 오빠가 조양은임...,9개월 전
379,  민서,패널들 말할때 사회자가 말해서 말겹칩.  잘 안들린다.  왜그래 진짜?,3년 전
380,  김아무,조폭세계에선 양은이는 조폭취급도 안해줌.,2년 전(수정됨)
381,  서병수,여상원 님? 인천에 이강민 폭력계 강력반장했던  김태촌이 잡은 친구 아시는지요?,4년 전
382,  이복원,별이 계급장이지? 법이 너무 물러서 계급장을 양산한다. 한번 들어 가면 푹 삭혔다 내 보내야 함부러 별을 못 단다,2년 전
383,  독일 KSB펌프,신상사ㅋㅋ야인시대에 나옴ㅋㅋㅋ실제 이화룡 후계자임드라마에선 오상사였었나,1년 전(수정됨)
384,  보여?,조폭은 사회악이다만기왕이사 시작한 조폭질로전국 1번조폭이 된건 정말 대단한거라 생각된다  분명  대단한 놈인건 틀림이없다무엇이든 본이이 시작한 일이라면 좋은일이든 나쁜일이든전국최고가 되는건 대단한 업적이다,1개월 전
385,  토스,조폭세계에도 최소한도의 룰이 있는 데 횽기를 들이면서 깨버리고 만 죄를 두고 두고 받아야 한다.  횽악한 인간이다.,2년 전
386,  ᆞᆞ,저거내셔틀이었는데 내눈도못보고 쭈구리처럼 기어다녔지,1년 전
387,  UN음주오락부차관,가라. 나는 너의 맑은 눈빛이 좋다.,1년 전
388,  성이름,ㅋㅋㅋ 대출사기. 바닥 까지 내려갔네,2년 전
389,  상냥한악마,이새끼 1996년에 영화찍은거 존나 웃겼는데 로봇연기 ㅋㅋ,3년 전
390,  헤벌,초대 조직폭력배가 김두한이었죠.,2년 전
391,  최지웅,잼있네 ㅋㅋ시나리오가,2년 전
392,  김민,조폭들이 돈잘써서 이쁜여성들이 좋아하나보다라고 말하네이말은 이쁜여자들은 돈잘쓰는 남자를 좋아한다는 얘기네이말이  맞나?,2년 전
393,  MC댕댕,그러니까 쟤네들이 김성수 저리가라 하게 나쁘놈들이라는거 아니야?,3년 전
394,  수현김,양아치의 말로 .. 자꾸 신격화 하지말자,3년 전
395,  이은병,아니 늙으면 초라한게 당연한거 아닌가,11개월 전
396,  이규선,왕년에 주먹이 아니라왕년에 사시미칼 이라고 해야지 ㅋㅋ,1년 전
397,  타이슨퓨리,전직 건달 입니다  요즘은  강아지 키우면서  새삶을 살고 있어요  열김히 공장에서 일도 하고요  강아지 영상도 조금씩 올릴 계획입니다 구독후 지켜봐주세요  건달 조폭  걍 쓰레기 새기들 입니다,3년 전(수정됨)
398,  김기문,ㅎ ㅎ ㅎ  내가  걷던  길을  걷고  있군! 제행무상인  거여!,1년 전
399,  조주연,100억  사기치구 3년이면 남는 장사네 ㅎ,1년 전
400,  길오리,쫄리니까 뭉쳐 다니는거 아녀? 양아치지 건달은 무슨 ....,1년 전
401,  권리 위에 잠자지 않는 TV,잘  보았습니다요,2년 전
402,  애국국민,싸움  못하게 생겼는데 깡이지 뭐 깡이좋구만,1년 전
403,  🌻26억8천3백52만원,목회자인가 뭔가한다고 어쩌구하드만 예수가 조양은은 구원하기 빡쎈는가비네,2년 전
404,  차현수,부산살던 민근이 닯았네 ㅋ,4년 전
405,  딱!한수.,참 거시기하고 므시기하다,3년 전
406,  조금진,그런놈을 싹아지 없는놈이라고한다,4년 전
407,  Well Well,6:10 이게 뉴스 채널 맞나 ㅋㅋㅋ 조폭이 남자매력 터져서 방청석에 미인이 많더라니 ㅋㅋㅋ,7개월 전
408,  백서아,나는세금졸라채무해야긋다이제계속세금미룰거다왜냐면 경찰이사람차별하네요 억울해서 못살긋다나는법도모르고죄도없는데경찰이면다가..권력남용하네꼬라지가개판이다,2년 전
409,  KoreA Hello,당연한거지 누구도동정하지않을꺼야,4개월 전
410,  Kevin Park,불법은 차암 부지런하다,2년 전
411,  광주정우TV,양은형님 쉬셨습니까?형님!!,1년 전
412,  김응천,조양은 완전이  나도 걸도달고 시라이도 줍고 하여지만 나도 전,2년 전
413,  杉康,그냥....뼛속까지 양아치,2년 전
414,  천억부자되자,내 주변 생활하는 애들 다 빛 좋은 그지들이다.,2년 전
415,  이명개박이,복준이형이 제일재미쪄,3년 전
416,  최광조,비열한...더럽고 비열한..수단방법 가리지 않고목적만 달성하면.,2년 전
417,  단월령,쓰레기는 오래되도 쓰레기지,1년 전
418,  도남동소쿠리,조폭들은 북한정치범감옥가면 정화된다 ㅎㅎ아니다 우리나라도있었지? 삼청교육대 ㅎㅎ부활이시급하다,3년 전
419,  MJ P,왜저렇게 오래두나,1년 전
420,  김명국,쓰레기들 한번에 다 태워라,1년 전
421,  갈채,야쿠자 오야붕도 그런다네요.물러나면 빚에 쪼달리고...,2년 전
422,  막가파,나이들면 어느누구나 다초라함..,1년 전
423,  김태균,노년에는.....,2년 전
424,  늘푸른,신율이 정신차렸나,3년 전
425,  윤은호,60도 못살며  빵에서 30년,1년 전
426,  최성덕,뭔가 착각하는게있는데 재벌은 망해도 삼대가먹구살돈은 챙기구살지 과연 조양은이 초라할까? 구치소에서두 황제루살구 나와두 아마 ~하지만 모두가 피해갈수없는게 늙음과죽음!이 진리앞에 인생은 초라해질수밖에없지,1년 전(수정됨)
427,  이순진,초라한게당연 조폭처럼 지저분한게없죠 ㄸ 처럼,1년 전
428,  John Kim,무슨 소리냐? 조폭의 인생이 화려해야 되냐?,2년 전
429,  SilentWhisper,지금 목숨 붙어있나요 아니면 D졌나요,1년 전
430,  현짱데스요,다 사주 되로 사는거야,4년 전
431,  시엘로이 CIELOY,건달 X = 양아치 O,3년 전
432,  흔한민정경찰,알고리즘이 또.....,2년 전
433,  문싼타,귀여운 놈,4년 전
434,  길TV,폭력으로 성하면 폭력으로 망한다,4년 전
435,  정은도,당연한거지그럼 떵떵 거리고 살줄 알았냐인간은 다 늙고 늙으면 돈없음추해진다,1년 전
436,  만물박사,영원한 깡패가 없다고 이재명에 이어재확인,1년 전
437,  Hea Lee,시라소니도 집단 린치 당했다 자식아,2개월 전
438,  냥이123,밖에서 조폭이 교도서 에서 주목?  평소 독방에 가둬두라,2년 전
