,아이디,댓글 내용,댓글 시간
40,  son hi,회칼로 떳으면회칼맞고 가야 그림이돼는건데...,4년 전
41,  유달산,조폭은 손에 무기를 드는순간 그땐 양아치다 조폭은 싸움은 할줄모른다 그저 떼거리로 사시미칼들고 ...,2년 전
42,  k선,국민세금이 아깝네요빨리  해치우세요!!!,6년 전
43,  충격파,정치자들이 깡패라 무기징역 안되는거죠?역시 자연처럼 인생의생활도 자연스럽네,3년 전
44,  노아킴,지금은 여의도에서 선교 센터 하면서 목사님 코스프레 하는 중,4개월 전(수정됨)
45,  정영배,초라한이 아닌 비참한 참혹한 인생이야될텐데...아쉽,11개월 전
46,  불닭볶음면,양은냄비에 불닭볶음면 먹으면 맛있다,7개월 전
47,  백명현,저런인간의 말년에 방송에서까지 관심을 가져야할 이유가 있나?,2년 전
48,  Bokwhan Lee,은혜 받았다 하면 변화도 안됐는데 신학교 에서 받아주니 문제다 문제야신학교 반성좀 합시다.,6년 전
49,  jp h,양은이 큰형님 건강하시길 빌겠습니다,2년 전
50,  선우영민,조양은(칼) vs 이호성(빠따) vs 유영철(칼) 누가 최강임?,3년 전
51,  꽁지니므,감옥쳐넣음 우리가 낸 세금 아깝다,4년 전
52,  김판종,많은모임과단체에 부처님의자비와축복이 충만하시길 병과상처 치유와회복을 법의자비와축복이 충만하시길 항상 기도합니다 기원합니다 발원합니다 소원합니다 나무아미타불 관세음보살부처님점집으로 인도해주옵시고 절로 인도해주옵시고 교회로 인도해주옵시고 성당으로 인도해주옵소서 항상  기원합니다 발원합니다 소원합니다나무아미타불 관세음보살부처님,6년 전
53,"  수수깡(SUSU-G""ANG)",이런놈들은 뉴스에 자막한줄도  아깝다.이렇게  뉴스에 조명되니 45범은 우습지도 않지!그동안 피해본 선량한 시민들 피해는 생각은 안하냐?,2년 전
54,  강테니스,조폭이 화려가 어디있어 그냥 음지에서 기생하는 독버섯 같은 것들이지 ㅉㅉ,6년 전
55,  리헨,"그를 믿는 자는 심판을 받지 아니하는 것이요 믿지 아니하는 자는 하나님의 독생자의 이름을 믿지 아니하므로 벌써 심판을 받은 것이니라.그 정죄는 이것이니 곧 빛이 세상에 왔으되 사람들이 자기 행위가 악하므로 빛보다 어두움을 더 사랑한 것이니라(요한복음 3장 18절 ~19절)또 이르시되 너희는 온 천하에 다니며 만민에게 복음을 전파하라믿고 세례를 받는 사람은 구원을 얻을 것이요 믿지 않는 사람은 정죄를 받으리라(마가복음 16장 15절~16절)지옥은 실제로 존재합니다.누구든지 생명책에 기록되지 못한 자는 불못에 던져지더라 (요한계시록20장15절)하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니이는 저를 믿는 자마다 멸망치 않고 영생을 얻게 하려 하심이라  - (요한복음 3:16)자기 아들을 아끼지 아니하시고 우리 모든 사람을 위하여 내주신 이가 어찌 그 아들과 함께 모든 것을 우리에게 주시지 아니하겠느냐 (로마서 8장 32절)하나님께선 예수님을 내어주실 만큼 우리를 사랑하고 계십니다.로마서 5장 8절 우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로 하나님께서 우리에 대한 자기의 사랑을 확증하셨느니라.이미 하나님의 사랑은 확증 되었으며,우리는 사랑으로 이뤄주신 구원을 받기만 하면 됩니다!히브리서 9:27 한번 죽는 것은 사람에게 정해진 것이요 그 후에는 심판이 있으리니우리는 결코 심판을 피할 수 없습니다.로마서 4장 25절 예수는 우리가 범죄 한 것 때문에 내줌이 되고 또한 우리를 의롭다 하시기 위하여 살아나셨느니라하나님의 사랑과 은혜는그 무엇과도 비교할 수 없습니다.지으신 것이 하나도 그 앞에 나타나지 않음이 없고 우리의 결산을 받으실 이의 눈앞에 만물이 벌거벗은 것 같이 드러나느니라 (히브리서 4장13절)우리의 모든 것은 하나님 앞에 드러나게 되어있습니다.사도행전 16장 31절 이르되 주 예수를 믿으라 그리하면 너와 네 집이 구원을 받으리라 하고로마서 10장9절21절  네가 만일 네 입으로 예수를 주로 시인하며 또 하나님께서 그를 죽은 자 가운데서 살리신 것을 네 마음에 믿으면 구원을 받으리라요 1:12 영접하는 자 곧 그 이름을 믿는 자들에게는 하나님의 자녀가 되는 권세를 주셨으니예수님은 우리의 길이고 진리며 생명이십니다.왜 복음을 전하냐고요?로마서10장14절~15절 그런즉 그들이 믿지 아니하는 이를 어찌 부르리요 듣지도 못한 이를 어찌 믿으리요 전파하는 자가 없이 어찌 들으리요보내심을 받지 아니하였으면 어찌 전파하리요 기록된 바 아름답도다 좋은 소식을 전하는 자들의 발이여 함과 같으니라하나님 께선지옥을 갈 수밖에 없었던 우리에게값없이 한없는 은혜와 사랑을 베풀어주셨으며,예수님께서는 구원을 이루시기 위해  조롱과 모욕과 수치와참을 수 없는 고통을 끝까지 견뎌주셨습니다.하나님께서 우리에게 내밀고 계신 손을놓치지 말고 꼭 붙잡았으면 좋겠습니다",1개월 전
56,  장첸형여행TV,현재는 선교사님이십니다 많은 응원 부탁드리겠습니다,1년 전
57,  지수,부장판사출신이  뉴스나와서 저렇게도할말이없나 사법부수준 좀 실망스럽네,3년 전(수정됨)
58,  강선영,역시주먹은  조일환 선생님  입니다 내가 인정합니다,2년 전
59,  금은산,조폭들은 미녀들을 협박해서 자기것으로 만드는 경우가 많다는 말을 들었어요,3년 전(수정됨)
60,  침돌이,해변에서 발가벗기고 담뱃불로 성기를 지지며 무소음 권총으로 협박을.....후덜덜하네요,5년 전
61,  WOODY KIM,저작은체구에 몇백명의 건달들의 두목이됬다는 그자체가 저사람의 간댕이와 기질 카리스마 장악력 이모든것이 증명되는것이다 남자라면 누구나 한번쯤 가져본 로망이지않은가...,5년 전
62,  티모언니,케빈박하고싸우면 질거같은데,2년 전
63,  구찬성,그냥 조폭이라고 문신한애들보면 진짜 불쌍함 할짓이 그렇게 없나 싶기고 하고 생각도 모자른거 같고 머리가 너무 어린거 같고 멋있어 보이나?,3년 전
64,  익룡,이 사람이랑  장첸이랑 칼없이붙으면 누가이김?젊었을때  기준,2년 전
65,  Arun Rohan,사람 고쳐쓰는거 아니다. 란 말이 생각나네요,2년 전
66,  rang ari,"폭력조직에 가담한 자는 최고 사형에 처한다.(2인 이상 떼거지로 몰려다니는 사람들 모조리 검거 최고 사형에 처한다)학교폭력도 심각하다.중학생들도 폭력조직에 가담하면 모두 사형에 처한다. 반드시 법개정 반드시 시행하라!이유:  조직폭력에 가담했다는 것은 누군가를 폭력(살인 등)을 행사하겠다는 의미인 것이다.폭력은 이 지구상에 가장 역겹고 고통스럽고 모든 인류가 공포에 떨게 만드는  사회에 암적인 존재인 것이다.지상낙원의 가장 최대의 적은  폭력(전쟁,강도,살인 등)이다.절대적 비폭력 사회 만들기.. 범죄없는 사회 만들기  폭력없는 세상만들기에 호소합니다",6년 전
67,  박도성,조양은협객님 지금은 자원봉사 하시면서 많은분들을 돕고 계십니다.언론에  의해서 우리조양은 협객님의 명예가 실추되지 않았으면 합니다.,4개월 전
68,  DOODLE MONSTER,우연히 알고리즘에 이끌리셔서 절 보셨다면 당신은 천운이 함꺼1할 것 입니다 좋아요 구독 누르시고 인생역전 대박나시구 행복하세요AA-,2년 전
69,  sonnet parker,당연히 고부고분하겠지.. 명확하게 잘못을 걸렸을텐데 ㅋ 감형 받으려면 목숨줄 가진 사람한테 보스한테 하듯 하겠지.. 대타도 마찬가지고.. 판사란 사람이 여자 얘기하며 저리도 호의적이라니.. 당시에 제대로 구형했겠나 ㅋ,2년 전(수정됨)
70,  켑틴,조양은씨는 소문과달리 현재 00교회에서 믿음생활 잘하고 있어요.,3년 전
71,  조남구,때가되면 반드시 현재많 가질수 있읍니다,2년 전
72,  한태권브이,노년까지 화려해야 되나? 범죄자의 말로가 당연해야 하는거 아닌가?,5년 전
73,  green mountain,그전의 일로 알고있고 지금은 갱생하여 기독교에 귀의하여 아프리카 선교사로 활동하고있는줄 안다.과거를 씻고 어려운사람들을 돕고 봉사하고 있는분을 매도하지 말기 바란다,2년 전
