,아이디,댓글 내용,댓글 시간
34,  @user-mq4de3ec7z,"자신의 목숨을 걸고 타인의 목숨을 지킨다는 것은 정말 쉽지 않은 행동입니다. 이렇게 행동으로 옮기시는 분들이 이 세상을 좀 더 아름답게 만들어주시는 분들이 있어 살만한 곳이라고 생각합니다. 여성분은 간호사분이시라는데 이렇게 적절한 응급조치를 해주신 것에 대한 감사, 그리고 구조를 도와주신 레커 기사분에게 감사를 표하고 싶습니다.",1년 전
35,  @user-zz6uy9qy9d,말많은 렉카지만 진짜 저분은 존경받아도 될분이다 간호사분도 그렇고 전부 멋있습니다!,4년 전
36,  @user-pu4pq4me2m,정말 3분만 늦었어도 큰일날 긴박한 상황에서 시민들이 자신들도 위험해질 수 있지만 용기있는 모습을 보여주어 극적으로 구조되었다는 것이 대단하다고 생각이 듭니다.,1년 전
37,  @user-gu7js6bn7p,감동입니다!!  눈시울이 붉어지네요!!   ㅠㅠ당겨주시는 분과  간호사님 용감하시네요!!!  멀리 떨어져있지않고 도움주려하신 모든분들  복받으실겁니다~ ^^,2년 전
38,  @user-rb2gs5kl4n,불길이 버스에 붙은 긴박한 상황임이여기까지 느껴지는데 이 상황 속에서생명을 구조하는 모습을 보니 정말소름이 돋습니다. 대단한 정신력이아닐까 생각이 듭니다. 덕분에 소중한 생명이 하나 지켜진 것같네요. 간호사분 렉커기사님 정말멋지십니다 ! 좋은 일만 가득하세요 ~,1년 전
39,  @hanuriable,"아, 다시봐도 눈물이 난다..간호사분과 도와주신 분들 너무 감사합니다..위급한 상황에선 딴 생각하지말고위험에 처한 저 사람이 누군가의 손길을 간절히 바라는 있는 나라고 생각하면 용기가 날 겁니다..제발 외면하지 말아요..저 또한 그럴테니까요..",3개월 전
40,  @user-dk8lz9nl8d,"정말 고마워요. 간호사님, 래커 기사분. 진심 복받으시길 기원합니다.",3년 전
41,  @gusdn8429,정말 백의 천사 이시네요.. 망설임도 없이 버스로 들어가서 구하시는게 너무 멋있습니다..!,3년 전
42,  @user-pk1mu8wr6n,감동입니다...여성분 모습에 울컥 ㅠㅠㅠㅠㅠ,3년 전
43,  @user-xf3tn1fs1l,시민영웅분들 너무 멋지내요. 불이 붙은 버스 나부터 살겠다고 멀리 대피하는게 보통일텐데 ... 기사분 뿐 아니라 누군가의 아버지일지 모르는 기사님 가족들까지 같이 살리신거라고 생각합니다. 너무 멋지고 감사합니다.,3년 전
44,  @user-bj9st5bk7l,불이타고 있는 정말 위험한 상황에서 용감하게 승객분들과 기사 분을 구하신 간호사 분과 렉카 기사분 모두 존경스럽습니다.,2년 전
45,  @user-es2bw8di5b,불타는 버스 가까이서 지켜주신 시민분들 모두 영웅이네요... 그와중에 렉카차 기사님 있고 의료인 있고... 버스기사분 복받으셧어요 ㅠㅠ 항상 조심하셔요!! 시민분들 진짜 멋짐 진짜진짜,2년 전
46,  @huidongslife295,우리 주위에 보이지 않는 영웅들이 참 많습니다.위험한 순간을 보면 주저없이 나서는 영웅들진정한 우리들의 영웅들을 위해 박수를 보냅니다.고맙습니다~~♡♡♡,1년 전
47,  @user-xp8np3wg3w,저기 버스기사분 구하는데 도움 준 모든 시민들과 간호사 렉카기사님 다 너무 멋지네요 안전하게 구조되서 진짜 다행입니다,3년 전
48,  @susee1107spore,저 상황에도 모두 그 자리에 계셔주셔서 너무나도 감사드립니다.,3년 전
49,  @zzzz..3273,그런 위급한 상황에서 주저않고 버스기사님을 돕는 시민들의 모습에 아직도 세상은 살만하다는 생각이 드네요 따뜻한 뉴스기사를 접하면서 저까지 마음이 따뜻해지는 기분이 드네요,11개월 전
50,  @user-eg5rd8uq1v,도와주신분들 모두 존경합니다!,2년 전
51,  @user-db8rm7uj7i,진정한 영웅이시네요.도와주신 시민분들 훌륭해요~~,3년 전
