,아이디,댓글 내용,댓글 시간
38,  @user-zd4vo9lb2x,아니 방사한 인간 정신머리에도 놀랐지만 피라냐 적응력에 놀람 ㄷㄷ 열대물고기가 우리나라 강의 서늘한 수온에서 살수있다고???,1년 전
39,  @halieuskang9718,도대체 어떤 인간들이 이런 어이 없는 짓을 하는거지?,2년 전
40,  @mussekoreacastnet3932,피라니아 보기만해도 무섭넹저런잡식성 잡을수있게투망던질수있는곳 알려주는곳있으면좋겠네요..,2년 전
41,  @user-yq9wq2dr3m,진짜 너무 무분별하게 못사게 법을 제정해야 됩니다,5개월 전
42,  @user-lb6om4sc5c,저런것들이 사람이라도 공격한다면  그럴일은없겠지만무엇이든  끝까지 책임저라 무책임하게 갔다버리지 말고,7년 전
43,  @lotus8625,피라니아 실제로 여행 가서 먹어봤는데 정말 맛있습니다 ㅋㅋ,2년 전
44,  @perseus3362,"영국이 식용목적으로 나일퍼치들을 당시 식민지였던 아프리카 빅토리아 호수에 방류하였고, 이는 초식성 시클리드 어류를 모두 잡아먹는 결과로 이어져 녹조가 창궐하는 죽음의 호수가 되었죠 ;",4년 전(수정됨)
45,  @heoga0322,21세기 인데  아직도  수입금지종으로 분류가 않된것이  더 놀랍다.........  관련자들부터  처벌해야 되지 않을까 ???,1년 전
46,  @jamesjin7032,와.. 다들 고생하셨네요.. 피라냐를 방생한새기는 진짜 뭔생각이지..,5년 전
47,  @user-ge9qu9nx3m,진짜 방생 그만합시다 방생 때문에 외래종이 우리 생물를 다 먹어 치우면서 삽니다..,2년 전(수정됨)
48,  @csis5701,방사 할거면 지 얼굴에다 하지 왜 죄 없는사람들 개고생 시키냐;,6년 전
49,  @user-vk1jp2ug2x,"지딴에는 생명이라고 죽이기는 그래서 저수지 까지 찾아가서 방생했다고 ""난 참 좋은 놈이야"" 라고 착각하며 집에 갔을지도 모른다. 내 주위에도 있었다.  그런 사람들은 생각이 꽉 막혀있어서 무조건 자신이 맞다고 주장함",1년 전
50,  @user-el7zk9mg6i,피라냐가 겨울을 나지는 못하겠지만 겨울에도 적응할수 있다면 후덜덜 하겠고만,5년 전
51,  @user-rc5fd4it5m,앞으로도 그런일 생길지 모른다풀어놓은 사람 뜯어 먹히도록  처벌 법  만들어라,5개월 전
52,  @user-oi7tk7zk9c,"매우 충격적인 ""빅 뉴스"" 네요. 생태계의 교란을 자초하는 인간의 분별력 상실한 태도가 미치는 사회적 영향에 대해 알아간 뉴스입니다. 시청하게 된 걸 다행스럽게 여깁니다. YTN 홧 팅~",4년 전
53,  @hojunchun9880,처음부터 피라냐를 통관을 시키지마세요!! 간단한 법을 만들면 끝날것을 가뭄에3천톤을 물 을 버리는게미친짓이죠 행정안전부는즉각 피라냐 수입금지를 시키십시요!!,5개월 전
54,  @flsclvls9800,백타 피라냐 기르던 사람이 방생한건데 진짜 저건 법을 강화시켜서 콩밥먹여야 한다,5년 전
55,  @engbure,2021년인줄 알고 깜놀랐네...마스크 없는 일상이 그립네요,1년 전
56,  @umaribnal-xattab5651,알라님은 무엇이든 할 수 있습니다.  알라님은  위대 합니다,3년 전
